Torneo,NumEq,PtsGlob1,RendGlob1,PtsGlob2,RendGlob2,PtsCali,RendCali,PosCali
2002-I,18,33,0.5,33,0.5,39,0.590909091,1
2002-II,18,33,0.5,32,0.484848485,47,0.712121212,1
2003-I,18,27,0.5,26,0.481481481,28,0.518518519,5
2003-II,18,26,0.481481481,25,0.462962963,34,0.62962963,1
2004-I,18,27,0.5,27,0.5,34,0.62962963,2
2004-II,18,27,0.5,28,0.518518519,30,0.555555556,4
2005-I,18,27,0.5,26,0.481481481,27,0.5,5
2005-II,18,28,0.518518519,29,0.537037037,30,0.555555556,1
2006-I,18,28,0.518518519,27,0.5,28,0.518518519,7
2006-II,18,28,0.518518519,27,0.5,25,0.462962963,10
2007-I,18,28,0.518518519,28,0.518518519,34,0.62962963,1
2007-II,18,27,0.5,27,0.5,18,0.333333333,12
2008-I,18,26,0.481481481,25,0.462962963,27,0.5,6
2008-II,18,29,0.537037037,28,0.518518519,28,0.518518519,8
2009-I,18,26,0.481481481,28,0.518518519,29,0.537037037,5
2009-II,18,27,0.5,27,0.5,22,0.407407407,12
2010-I,18,29,0.537037037,28,0.518518519,30,0.555555556,5
2010-II,18,27,0.5,28,0.518518519,26,0.481481481,9
2011-I,18,26,0.481481481,26,0.481481481,27,0.5,7
2011-II,18,25,0.462962963,25,0.462962963,23,0.425925926,10
2012-I,18,28,0.518518519,27,0.5,27,0.5,8
2012-II,18,25,0.462962963,25,0.462962963,22,0.407407407,11
2013-I,18,24,0.444444444,26,0.481481481,30,0.555555556,4
2013-II,18,25,0.462962963,27,0.5,28,0.518518519,4
2014-I,18,28,0.518518519,27,0.5,19,0.351851852,14
2014-II,18,28,0.518518519,27,0.5,28,0.518518519,6
2015-I,20,32,0.533333333,33,0.55,35,0.583333333,3
